"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,489,0.0007927243,0.01369748
0,492,0.0007918553,0.01367922
0,495,0.0007910074,0.01366123
0,498,0.0007901795,0.01364348
0,501,0.0007893705,0.01362597
0,504,0.0007885793,0.0136087
0,507,0.0007878051,0.01359165
0,510,0.0007870467,0.01357482
0,513,0.0007863033,0.01355821
0,516,0.000785574,0.01354181
0,519,0.0007848578,0.0135256
0,522,0.0007841542,0.01350959
0,525,0.0007834621,0.01349378
0,528,0.0007827809,0.01347814
0,531,0.0007821097,0.01346268
0,534,0.000781448,0.0134474
0,537,0.0007807949,0.01343228
0,540,0.00078015,0.01341733
0,543,0.0007795125,0.01340253
0,546,0.0007788817,0.01338789
0,549,0.0007782572,0.0133734
0,552,0.0007776384,0.01335905
0,555,0.0007770247,0.01334484
0,558,0.0007764156,0.01333077
0,561,0.0007758106,0.01331683
0,564,0.0007752092,0.01330302
0,567,0.000774611,0.01328934
0,570,0.0007740156,0.01327577
0,573,0.0007734224,0.01326232
0,576,0.0007728311,0.01324899
0,579,0.0007722414,0.01323576
0,582,0.0007716527,0.01322265
0,585,0.0007710648,0.01320963
0,588,0.0007704773,0.01319672
0,591,0.0007698899,0.01318391
0,594,0.0007693022,0.01317119
0,597,0.000768714,0.01315856
0,600,0.0007681249,0.01314603
0,603,0.0007675347,0.01313358
0,606,0.000766943,0.01312121
0,609,0.0007663497,0.01310892
0,612,0.0007657545,0.01309672
0,615,0.0007651571,0.01308459
0,618,0.0007645573,0.01307254
0,621,0.0007639548,0.01306056
0,624,0.0007633496,0.01304865
0,627,0.0007627413,0.0130368
0,630,0.0007621298,0.01302503
0,633,0.0007615148,0.01301331
0,636,0.0007608962,0.01300166
0,639,0.0007602739,0.01299007
0,642,0.0007596476,0.01297854
0,645,0.0007590172,0.01296706
0,648,0.0007583827,0.01295563
0,651,0.0007577437,0.01294426
0,654,0.0007571002,0.01293295
0,657,0.0007564521,0.01292168
0,660,0.0007557991,0.01291045
0,663,0.0007551412,0.01289928
0,666,0.0007544783,0.01288814
0,669,0.0007538103,0.01287706
0,672,0.0007531371,0.01286601
0,675,0.0007524587,0.012855
0,678,0.0007517749,0.01284404
0,681,0.0007510856,0.01283311
0,684,0.0007503906,0.01282221
0,687,0.00074969,0.01281136
0,690,0.0007489836,0.01280053
0,693,0.0007482716,0.01278974
0,696,0.0007475537,0.01277898
0,699,0.0007468298,0.01276825
0,702,0.0007461002,0.01275755
0,705,0.0007453643,0.01274687
0,708,0.0007446223,0.01273623
0,711,0.0007438742,0.01272561
0,714,0.00074312,0.01271501
0,717,0.0007423595,0.01270444
0,720,0.0007415928,0.01269389
0,723,0.0007408198,0.01268337
0,726,0.0007400406,0.01267286
0,729,0.0007392548,0.01266238
0,732,0.0007384627,0.01265191
0,735,0.0007376641,0.01264146
0,738,0.0007368592,0.01263103
0,741,0.0007360477,0.01262062
0,744,0.0007352298,0.01261022
0,747,0.0007344054,0.01259984
0,750,0.0007335744,0.01258947
0,753,0.0007327369,0.01257912
0,756,0.0007318928,0.01256877
0,759,0.0007310422,0.01255844
0,762,0.000730185,0.01254812
0,765,0.0007293212,0.01253782
0,768,0.0007284509,0.01252752
0,771,0.000727574,0.01251723
0,774,0.0007266905,0.01250695
0,777,0.0007258003,0.01249668
0,780,0.0007249037,0.01248641
0,783,0.0007240004,0.01247615
0,786,0.0007230905,0.0124659
0,789,0.0007221742,0.01245565
0,792,0.0007212512,0.01244541
0,795,0.0007203217,0.01243517
0,798,0.0007193857,0.01242494
0,801,0.0007184431,0.01241471
0,804,0.000717494,0.01240448
0,807,0.0007165384,0.01239426
0,810,0.0007155763,0.01238404
0,813,0.0007146078,0.01237382
0,816,0.0007136328,0.01236359
0,819,0.0007126514,0.01235337
0,822,0.0007116635,0.01234315
0,825,0.0007106693,0.01233293
0,828,0.0007096686,0.01232271
0,831,0.0007086617,0.01231249
0,834,0.0007076483,0.01230227
0,837,0.0007066288,0.01229204
0,840,0.0007056029,0.01228181
0,843,0.0007045708,0.01227158
0,846,0.0007035324,0.01226134
0,849,0.0007024878,0.0122511
0,852,0.0007014371,0.01224086
0,855,0.0007003802,0.01223061
0,858,0.0006993172,0.01222036
0,861,0.0006982481,0.0122101
0,864,0.000697173,0.01219984
0,867,0.0006960918,0.01218957
0,870,0.0006950047,0.0121793
0,873,0.0006939115,0.01216902
0,876,0.0006928125,0.01215873
0,879,0.0006917075,0.01214844
0,882,0.0006905967,0.01213814
0,885,0.0006894801,0.01212783
0,888,0.0006883577,0.01211751
0,891,0.0006872295,0.01210719
0,894,0.0006860956,0.01209685
0,897,0.000684956,0.01208651
0,900,0.0006838108,0.01207616
0,903,0.00068266,0.0120658
0,906,0.0006815036,0.01205543
0,909,0.0006803417,0.01204505
0,912,0.0006791742,0.01203467
0,915,0.0006780013,0.01202427
0,918,0.0006768231,0.01201386
0,921,0.0006756394,0.01200344
0,924,0.0006744504,0.01199301
0,927,0.0006732561,0.01198257
0,930,0.0006720566,0.01197212
0,933,0.0006708518,0.01196166
0,936,0.0006696419,0.01195118
0,939,0.0006684268,0.0119407
0,942,0.0006672067,0.0119302
0,945,0.0006659815,0.01191969
0,948,0.0006647513,0.01190917
0,951,0.0006635162,0.01189864
0,954,0.0006622761,0.01188809
0,957,0.0006610312,0.01187753
0,960,0.0006597814,0.01186696
0,963,0.0006585269,0.01185638
0,966,0.0006572676,0.01184578
0,969,0.0006560037,0.01183517
0,972,0.000654735,0.01182455
0,975,0.0006534618,0.01181392
0,978,0.0006521841,0.01180327
0,981,0.0006509018,0.0117926
0,984,0.000649615,0.01178193
0,987,0.0006483238,0.01177124
0,990,0.0006470283,0.01176053
0,993,0.0006457284,0.01174981
0,996,0.0006444242,0.01173908
0,999,0.0006431158,0.01172833
0,1002,0.0006418031,0.01171757
0,1005,0.0006404864,0.01170679
0,1008,0.0006391655,0.011696
0,1011,0.0006378407,0.0116852
0,1014,0.0006365117,0.01167438
0,1017,0.0006351788,0.01166354
0,1020,0.000633842,0.0116527
0,1023,0.0006325014,0.01164183
0,1026,0.0006311569,0.01163095
0,1029,0.0006298087,0.01162006
0,1032,0.0006284567,0.01160915
0,1035,0.000627101,0.01159823
0,1038,0.0006257418,0.01158729
0,1041,0.0006243789,0.01157633
0,1044,0.0006230125,0.01156536
0,1047,0.0006216426,0.01155438
0,1050,0.0006202693,0.01154338
0,1053,0.0006188925,0.01153236
0,1056,0.0006175125,0.01152133
0,1059,0.0006161291,0.01151028
0,1062,0.0006147425,0.01149922
0,1065,0.0006133527,0.01148814
0,1068,0.0006119597,0.01147705
0,1071,0.0006105636,0.01146594
0,1074,0.0006091645,0.01145481
0,1077,0.0006077623,0.01144367
0,1080,0.0006063572,0.01143251
0,1083,0.0006049491,0.01142134
0,1086,0.0006035382,0.01141015
0,1089,0.0006021245,0.01139895
0,1092,0.000600708,0.01138773
0,1095,0.0005992887,0.0113765
0,1098,0.0005978668,0.01136525
0,1101,0.0005964423,0.01135398
0,1104,0.0005950151,0.0113427
0,1107,0.0005935854,0.0113314
0,1110,0.0005921532,0.01132008
0,1113,0.0005907186,0.01130875
0,1116,0.0005892815,0.01129741
0,1119,0.0005878421,0.01128605
0,1122,0.0005864004,0.01127467
0,1125,0.0005849565,0.01126328
0,1128,0.0005835103,0.01125187
0,1131,0.0005820619,0.01124045
0,1134,0.0005806115,0.01122901
0,1137,0.000579159,0.01121755
0,1140,0.0005777043,0.01120608
0,1143,0.0005762478,0.0111946
0,1146,0.0005747893,0.01118309
0,1149,0.0005733289,0.01117158
