"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,354,0.004509379,0.06261271,0.1997782
0,357,0.004464205,0.06227945,0.198602
0,360,0.004420253,0.06195243,0.1974408
0,363,0.004377499,0.06163161,0.196295
0,366,0.004335916,0.06131693,0.1951649
0,369,0.004295481,0.06100836,0.1940507
0,372,0.004256167,0.06070581,0.1929526
0,375,0.004217951,0.06040922,0.1918709
0,378,0.004180807,0.06011851,0.1908055
0,381,0.004144709,0.05983359,0.1897567
0,384,0.004109632,0.05955439,0.1887244
0,387,0.004075553,0.05928081,0.1877087
0,390,0.004042445,0.05901276,0.1867096
0,393,0.004010286,0.05875015,0.1857269
0,396,0.00397905,0.05849286,0.1847607
0,399,0.003948715,0.05824082,0.1838109
0,402,0.003919255,0.05799391,0.1828773
0,405,0.003890649,0.05775205,0.1819598
0,408,0.003862873,0.05751511,0.1810584
0,411,0.003835906,0.05728302,0.1801727
0,414,0.003809724,0.05705566,0.1793027
0,417,0.003784308,0.05683293,0.1784482
0,420,0.003759634,0.05661473,0.177609
0,423,0.003735682,0.05640097,0.1767849
0,426,0.003712432,0.05619155,0.1759757
0,429,0.003689864,0.05598636,0.1751811
0,432,0.003667959,0.05578531,0.174401
0,435,0.003646696,0.05558831,0.1736352
0,438,0.003626058,0.05539526,0.1728834
0,441,0.003606027,0.05520607,0.1721454
0,444,0.003586583,0.05502065,0.171421
0,447,0.00356771,0.0548389,0.1707099
0,450,0.003549391,0.05466075,0.1700119
0,453,0.003531609,0.0544861,0.1693267
0,456,0.003514348,0.05431487,0.1686542
0,459,0.003497592,0.05414698,0.1679942
0,462,0.003481326,0.05398234,0.1673463
0,465,0.003465534,0.05382087,0.1667103
0,468,0.003450203,0.05366251,0.1660861
0,471,0.003435316,0.05350716,0.1654734
0,474,0.003420862,0.05335476,0.1648719
0,477,0.003406826,0.05320523,0.1642815
0,480,0.003393195,0.0530585,0.1637019
0,483,0.003379957,0.05291451,0.1631329
0,486,0.003367098,0.05277317,0.1625743
0,489,0.003354607,0.05263444,0.1620259
0,492,0.003342472,0.05249823,0.1614875
0,495,0.003330681,0.05236449,0.1609588
0,498,0.003319223,0.05223316,0.1604397
0,501,0.003308089,0.05210417,0.1599299
0,504,0.003297266,0.05197747,0.1594293
0,507,0.003286744,0.051853,0.1589376
0,510,0.003276515,0.0517307,0.1584547
0,513,0.003266568,0.05161051,0.1579805
0,516,0.003256893,0.0514924,0.1575146
0,519,0.003247482,0.05137629,0.1570569
0,522,0.003238326,0.05126214,0.1566073
0,525,0.003229416,0.05114992,0.1561655
0,528,0.003220745,0.05103955,0.1557315
0,531,0.003212302,0.050931,0.1553049
0,534,0.003204082,0.05082422,0.1548857
0,537,0.003196076,0.05071917,0.1544738
