"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,501,0.003541073,0.06027659
0,504,0.003530864,0.06016758
0,507,0.003520905,0.06005985
0,510,0.003511186,0.05995335
0,513,0.003501699,0.05984807
0,516,0.003492436,0.05974396
0,519,0.00348339,0.05964101
0,522,0.003474552,0.0595392
0,525,0.003465916,0.05943848
0,528,0.003457474,0.05933883
0,531,0.003449219,0.05924024
0,534,0.003441145,0.05914267
0,537,0.003433245,0.0590461
0,540,0.003425514,0.0589505
0,543,0.003417944,0.05885586
0,546,0.003410531,0.05876216
0,549,0.003403267,0.05866936
0,552,0.003396149,0.05857745
0,555,0.00338917,0.05848641
0,558,0.003382326,0.05839621
0,561,0.003375611,0.05830685
0,564,0.003369021,0.05821829
0,567,0.00336255,0.05813053
0,570,0.003356195,0.05804353
0,573,0.003349951,0.05795729
0,576,0.003343813,0.05787179
0,579,0.003337778,0.057787
0,582,0.003331842,0.05770293
0,585,0.003326,0.05761953
0,588,0.003320249,0.05753681
0,591,0.003314585,0.05745475
0,594,0.003309004,0.05737332
0,597,0.003303505,0.05729252
0,600,0.003298082,0.05721234
0,603,0.003292733,0.05713275
0,606,0.003287454,0.05705375
0,609,0.003282244,0.05697532
0,612,0.003277098,0.05689745
0,615,0.003272014,0.05682012
0,618,0.003266989,0.05674332
0,621,0.00326202,0.05666705
0,624,0.003257105,0.05659128
0,627,0.003252242,0.05651601
0,630,0.003247428,0.05644123
0,633,0.00324266,0.05636692
0,636,0.003237936,0.05629307
0,639,0.003233255,0.05621968
0,642,0.003228614,0.05614673
0,645,0.00322401,0.05607422
0,648,0.003219443,0.05600212
0,651,0.003214909,0.05593044
0,654,0.003210408,0.05585916
0,657,0.003205937,0.05578828
0,660,0.003201494,0.05571778
0,663,0.003197079,0.05564766
0,666,0.003192688,0.0555779
0,669,0.003188321,0.05550851
0,672,0.003183977,0.05543946
0,675,0.003179652,0.05537076
0,678,0.003175348,0.05530239
0,681,0.00317106,0.05523435
