"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,9.552954E-09,2.253795E-08,1.358018E-10
0,6,2.739316E-07,1.311024E-06,3.925813E-08
0,9,1.650807E-06,1.061742E-05,7.413951E-07
0,12,5.665209E-06,4.241441E-05,5.153548E-06
0,15,1.439403E-05,0.0001178104,2.147283E-05
0,18,3.025151E-05,0.0002615723,6.55004E-05
0,21,5.577538E-05,0.0004986462,0.0001618357
0,24,9.344632E-05,0.0008512794,0.0003434132
0,27,0.0001455431,0.001337122,0.0006495701
0,30,0.0002140321,0.001968315,0.00112318
0,33,0.000300489,0.002751384,0.00180746
0,36,0.0004060528,0.003687701,0.002742979
0,39,0.0005314057,0.00477424,0.003965217
0,42,0.0006767794,0.006004459,0.005502853
0,45,0.000841979,0.007369161,0.007376796
0,48,0.001026422,0.008857285,0.009599889
0,51,0.001229185,0.01045657,0.01217713
0,54,0.001449061,0.01215414,0.01510631
0,57,0.001684608,0.01393689,0.01837884
0,60,0.001934209,0.01579192,0.02198077
0,63,0.002196116,0.0177067,0.02589385
0,66,0.002468501,0.0196693,0.03009647
0,69,0.002749491,0.02166851,0.03456463
0,72,0.003037208,0.02369388,0.03927277
0,75,0.003329795,0.02573578,0.04419447
0,78,0.003625444,0.02778537,0.04930306
0,81,0.00392241,0.0298346,0.05457208
0,84,0.004219034,0.03187615,0.05997565
0,87,0.004513751,0.03390342,0.06548882
0,90,0.004805098,0.03591044,0.07108768
0,93,0.005091722,0.03789184,0.07674953
0,96,0.005372385,0.0398428,0.08245299
0,99,0.005645962,0.04175899,0.08817797
0,102,0.005911444,0.04363652,0.09390573
0,105,0.006167936,0.04547191,0.09961881
0,108,0.006414652,0.04726207,0.105301
0,111,0.006650919,0.04900421,0.1109373
0,114,0.006876162,0.05069588,0.116514
0,117,0.007089909,0.0523349,0.1220181
0,120,0.007291783,0.05391934,0.1274379
0,123,0.007481494,0.05544752,0.1327628
