"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,354,0.004442715,0.06350089,0.2062613
0,357,0.004397355,0.06315646,0.2050275
0,360,0.004353242,0.06281837,0.2038092
0,363,0.004310353,0.06248659,0.2026066
0,366,0.004268659,0.06216106,0.2014202
0,369,0.004228136,0.06184174,0.2002502
0,372,0.004188756,0.06152858,0.199097
0,375,0.004150495,0.06122148,0.1979606
0,378,0.004113325,0.06092038,0.1968412
0,381,0.004077222,0.06062519,0.1957389
0,384,0.004042158,0.06033584,0.1946537
0,387,0.004008108,0.06005224,0.1935858
0,390,0.003975047,0.05977429,0.192535
0,393,0.003942949,0.05950189,0.1915014
0,396,0.00391179,0.05923496,0.190485
0,399,0.003881545,0.05897339,0.1894855
0,402,0.003852189,0.05871708,0.1885029
0,405,0.003823699,0.05846592,0.1875372
0,408,0.003796051,0.05821983,0.1865881
0,411,0.003769223,0.0579787,0.1856555
0,414,0.003743191,0.05774242,0.1847392
0,417,0.003717933,0.05751089,0.1838391
0,420,0.003693427,0.05728402,0.1829549
0,423,0.003669652,0.05706171,0.1820865
0,426,0.003646586,0.05684384,0.1812337
0,429,0.00362421,0.05663033,0.1803962
0,432,0.003602504,0.05642107,0.1795738
0,435,0.003581446,0.05621597,0.1787663
0,438,0.003561019,0.05601494,0.1779735
0,441,0.003541203,0.05581788,0.1771951
0,444,0.003521981,0.05562469,0.1764309
0,447,0.003503334,0.05543529,0.1756806
0,450,0.003485244,0.05524958,0.1749441
0,453,0.003467696,0.05506749,0.174221
0,456,0.003450671,0.05488892,0.1735112
0,459,0.003434155,0.05471378,0.1728144
0,462,0.003418131,0.054542,0.1721303
0,465,0.003402583,0.0543735,0.1714587
0,468,0.003387498,0.05420818,0.1707995
0,471,0.003372859,0.05404598,0.1701522
0,474,0.003358654,0.05388682,0.1695168
0,477,0.003344869,0.05373063,0.168893
0,480,0.003331489,0.05357732,0.1682805
0,483,0.003318502,0.05342684,0.1676792
0,486,0.003305895,0.0532791,0.1670887
0,489,0.003293656,0.05313404,0.1665089
0,492,0.003281773,0.05299161,0.1659396
0,495,0.003270234,0.05285171,0.1653805
0,498,0.003259028,0.05271431,0.1648315
0,501,0.003248143,0.05257933,0.1642923
0,504,0.00323757,0.05244672,0.1637627
0,507,0.003227298,0.05231641,0.1632425
0,510,0.003217316,0.05218834,0.1627315
0,513,0.003207616,0.05206247,0.1622295
0,516,0.003198186,0.05193874,0.1617364
0,519,0.003189019,0.05181709,0.1612519
0,522,0.003180105,0.05169746,0.1607758
0,525,0.003171436,0.05157982,0.160308
0,528,0.003163002,0.05146411,0.1598483
0,531,0.003154797,0.05135028,0.1593965
0,534,0.003146812,0.05123829,0.1589524
0,537,0.003139038,0.05112808,0.1585159
0,540,0.00313147,0.05101962,0.1580867
0,543,0.003124099,0.05091286,0.1576649
0,546,0.003116919,0.05080776,0.1572501
0,549,0.003109922,0.05070428,0.1568422
0,552,0.003103103,0.05060238,0.1564411
0,555,0.003096454,0.05050201,0.1560466
0,558,0.00308997,0.05040314,0.1556586
0,561,0.003083644,0.05030574,0.1552769
0,564,0.003077471,0.05020976,0.1549014
0,567,0.003071445,0.05011518,0.1545319
0,570,0.00306556,0.05002195,0.1541683
0,573,0.003059812,0.04993004,0.1538106
0,576,0.003054194,0.04983943,0.1534584
0,579,0.003048703,0.04975007,0.1531119
0,582,0.003043333,0.04966194,0.1527707
0,585,0.00303808,0.04957501,0.1524348
0,588,0.003032938,0.04948924,0.152104
0,591,0.003027905,0.04940462,0.1517783
0,594,0.003022974,0.04932111,0.1514575
0,597,0.003018143,0.04923868,0.1511416
0,600,0.003013407,0.04915731,0.1508304
0,603,0.003008763,0.04907697,0.1505238
0,606,0.003004206,0.04899763,0.1502216
0,609,0.002999733,0.04891928,0.1499239
0,612,0.002995341,0.04884189,0.1496305
0,615,0.002991026,0.04876544,0.1493413
0,618,0.002986784,0.04868989,0.1490563
0,621,0.002982613,0.04861524,0.1487752
0,624,0.00297851,0.04854145,0.1484981
0,627,0.002974471,0.04846851,0.1482248
0,630,0.002970494,0.0483964,0.1479553
0,633,0.002966576,0.04832509,0.1476894
0,636,0.002962713,0.04825457,0.1474271
