"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,354,0.004757825,0.0587319,0.1878375
0,357,0.004710233,0.05844805,0.1867976
0,360,0.004663872,0.05816999,0.185771
0,363,0.004618718,0.05789766,0.1847581
0,366,0.004574748,0.05763102,0.1837591
0,369,0.004531938,0.05736996,0.1827743
0,372,0.004490262,0.05711443,0.1818038
0,375,0.004449698,0.05686434,0.1808478
0,378,0.00441022,0.0566196,0.1799065
0,381,0.004371805,0.05638012,0.1789798
0,384,0.004334427,0.05614581,0.1780678
0,387,0.004298063,0.05591657,0.1771706
0,390,0.004262689,0.05569231,0.1762881
0,393,0.004228281,0.05547293,0.1754203
0,396,0.004194815,0.05525833,0.1745671
0,399,0.004162269,0.05504841,0.1737285
0,402,0.004130618,0.05484306,0.1729043
0,405,0.00409984,0.05464219,0.1720945
0,408,0.004069914,0.05444571,0.1712989
0,411,0.004040815,0.0542535,0.1705174
0,414,0.004012525,0.05406547,0.1697498
0,417,0.003985019,0.05388152,0.168996
0,420,0.003958278,0.05370156,0.1682559
0,423,0.003932281,0.0535255,0.1675291
0,426,0.003907008,0.05335323,0.1668157
0,429,0.003882438,0.05318466,0.1661153
0,432,0.003858554,0.0530197,0.1654278
0,435,0.003835334,0.05285827,0.164753
0,438,0.003812762,0.05270027,0.1640907
0,441,0.003790818,0.05254561,0.1634407
0,444,0.003769485,0.05239422,0.1628027
0,447,0.003748745,0.052246,0.1621767
0,450,0.003728582,0.05210088,0.1615624
0,453,0.003708979,0.05195878,0.1609595
0,456,0.003689919,0.05181962,0.160368
0,459,0.003671387,0.05168331,0.1597875
0,462,0.003653367,0.0515498,0.1592178
0,465,0.003635844,0.051419,0.1586589
0,468,0.003618804,0.05129084,0.1581104
0,471,0.003602232,0.05116525,0.1575721
0,474,0.003586114,0.05104217,0.1570439
0,477,0.003570436,0.05092153,0.1565256
0,480,0.003555186,0.05080326,0.156017
0,483,0.003540351,0.0506873,0.1555178
0,486,0.003525917,0.05057359,0.155028
0,489,0.003511873,0.05046207,0.1545472
0,492,0.003498206,0.05035269,0.1540754
0,495,0.003484906,0.05024537,0.1536123
0,498,0.00347196,0.05014008,0.1531577
0,501,0.003459359,0.05003675,0.1527115
0,504,0.00344709,0.04993534,0.1522735
0,507,0.003435144,0.04983579,0.1518435
0,510,0.003423511,0.04973804,0.1514214
0,513,0.00341218,0.04964207,0.151007
0,516,0.003401143,0.04954781,0.1506001
0,519,0.00339039,0.04945521,0.1502005
0,522,0.003379912,0.04936425,0.1498082
0,525,0.0033697,0.04927487,0.1494229
0,528,0.003359745,0.04918703,0.1490445
0,531,0.00335004,0.04910069,0.1486728
0,534,0.003340577,0.0490158,0.1483078
0,537,0.003331346,0.04893234,0.1479491
0,540,0.003322342,0.04885026,0.1475969
0,543,0.003313556,0.04876953,0.1472507
0,546,0.003304982,0.04869011,0.1469107
0,549,0.003296612,0.04861196,0.1465765
0,552,0.003288439,0.04853505,0.1462481
0,555,0.003280458,0.04845935,0.1459253
0,558,0.003272661,0.04838483,0.1456081
0,561,0.003265043,0.04831146,0.1452962
0,564,0.003257597,0.0482392,0.1449897
0,567,0.003250317,0.04816802,0.1446882
0,570,0.003243199,0.0480979,0.1443919
0,573,0.003236236,0.04802882,0.1441004
0,576,0.003229424,0.04796073,0.1438138
0,579,0.003222756,0.04789362,0.1435319
0,582,0.003216228,0.04782746,0.1432546
0,585,0.003209835,0.04776222,0.1429818
0,588,0.003203572,0.04769788,0.1427135
0,591,0.003197435,0.04763442,0.1424494
0,594,0.003191419,0.04757182,0.1421895
0,597,0.003185519,0.04751004,0.1419337
0,600,0.003179733,0.04744908,0.1416819
0,603,0.003174055,0.0473889,0.1414341
0,606,0.003168481,0.0473295,0.1411901
0,609,0.003163008,0.04727084,0.1409499
0,612,0.003157632,0.04721291,0.1407133
0,615,0.003152349,0.04715569,0.1404803
0,618,0.003147157,0.04709915,0.1402508
0,621,0.00314205,0.0470433,0.1400247
0,624,0.003137027,0.04698809,0.139802
0,627,0.003132083,0.04693353,0.1395825
0,630,0.003127216,0.04687958,0.1393663
0,633,0.003122423,0.04682624,0.1391531
0,636,0.003117701,0.0467735,0.138943
0,639,0.003113046,0.04672132,0.1387359
0,642,0.003108457,0.0466697,0.1385317
0,645,0.00310393,0.04661863,0.1383304
0,648,0.003099463,0.04656809,0.1381318
0,651,0.003095053,0.04651807,0.1379359
0,654,0.003090698,0.04646854,0.1377427
0,657,0.003086396,0.04641951,0.1375521
0,660,0.003082144,0.04637096,0.137364
0,663,0.003077939,0.04632287,0.1371785
0,666,0.003073781,0.04627523,0.1369953
0,669,0.003069666,0.04622803,0.1368145
0,672,0.003065593,0.04618127,0.136636
0,675,0.003061559,0.04613492,0.1364597
0,678,0.003057563,0.04608897,0.1362857
0,681,0.003053603,0.04604342,0.1361138
0,684,0.003049677,0.04599826,0.135944
0,687,0.003045783,0.04595347,0.1357763
0,690,0.003041919,0.04590905,0.1356106
0,693,0.003038085,0.04586499,0.1354468
0,696,0.003034278,0.04582127,0.135285
0,699,0.003030496,0.04577788,0.1351251
0,702,0.003026739,0.04573483,0.1349669
0,705,0.003023005,0.04569209,0.1348106
0,708,0.003019291,0.04564967,0.134656
0,711,0.003015599,0.04560754,0.1345031
0,714,0.003011924,0.04556572,0.1343518
0,717,0.003008267,0.04552418,0.1342022
0,720,0.003004626,0.04548291,0.1340542
0,723,0.003000999,0.04544192,0.1339078
0,726,0.002997387,0.04540119,0.1337628
0,729,0.002993787,0.04536071,0.1336193
0,732,0.002990198,0.04532048,0.1334773
0,735,0.00298662,0.0452805,0.1333367
0,738,0.002983051,0.04524075,0.1331974
0,741,0.002979491,0.04520123,0.1330595
0,744,0.002975937,0.04516194,0.1329229
0,747,0.002972391,0.04512285,0.1327876
0,750,0.002968849,0.04508398,0.1326535
0,753,0.002965312,0.04504531,0.1325207
0,756,0.002961779,0.04500684,0.1323891
0,759,0.002958249,0.04496856,0.1322585
0,762,0.002954721,0.04493047,0.1321292
0,765,0.002951194,0.04489256,0.1320009
0,768,0.002947667,0.04485482,0.1318737
0,771,0.002944141,0.04481725,0.1317476
0,774,0.002940613,0.04477986,0.1316225
0,777,0.002937084,0.04474261,0.1314984
0,780,0.002933553,0.04470553,0.1313753
0,783,0.002930019,0.04466859,0.1312531
0,786,0.002926481,0.0446318,0.1311318
0,789,0.002922939,0.04459515,0.1310115
0,792,0.002919392,0.04455864,0.130892
0,795,0.00291584,0.04452226,0.1307734
0,798,0.002912282,0.044486,0.1306557
0,801,0.002908719,0.04444987,0.1305387
0,804,0.002905148,0.04441386,0.1304225
0,807,0.002901569,0.04437797,0.1303072
0,810,0.002897983,0.04434218,0.1301925
0,813,0.002894389,0.04430651,0.1300786
0,816,0.002890786,0.04427093,0.1299654
0,819,0.002887174,0.04423546,0.129853
0,822,0.002883552,0.04420009,0.1297411
0,825,0.00287992,0.0441648,0.12963
0,828,0.002876278,0.04412961,0.1295195
0,831,0.002872626,0.0440945,0.1294096
0,834,0.002868962,0.04405947,0.1293003
0,837,0.002865287,0.04402452,0.1291916
0,840,0.0028616,0.04398965,0.1290835
0,843,0.002857901,0.04395485,0.1289759
0,846,0.002854191,0.04392012,0.1288689
0,849,0.002850467,0.04388546,0.1287624
0,852,0.00284673,0.04385087,0.1286564
0,855,0.002842981,0.04381633,0.1285509
0,858,0.002839217,0.04378185,0.1284459
0,861,0.002835441,0.04374742,0.1283414
0,864,0.00283165,0.04371305,0.1282373
0,867,0.002827846,0.04367873,0.1281336
0,870,0.002824027,0.04364445,0.1280304
0,873,0.002820193,0.04361023,0.1279276
0,876,0.002816345,0.04357604,0.1278252
0,879,0.002812482,0.04354189,0.1277231
0,882,0.002808604,0.04350778,0.1276215
0,885,0.00280471,0.04347371,0.1275202
0,888,0.002800802,0.04343966,0.1274192
0,891,0.002796877,0.04340565,0.1273186
0,894,0.002792937,0.04337167,0.1272184
0,897,0.002788982,0.04333771,0.1271184
0,900,0.00278501,0.04330377,0.1270187
0,903,0.002781022,0.04326986,0.1269194
0,906,0.002777018,0.04323597,0.1268203
0,909,0.002772998,0.04320209,0.1267215
0,912,0.002768962,0.04316824,0.1266229
0,915,0.002764909,0.04313439,0.1265246
0,918,0.00276084,0.04310056,0.1264266
0,921,0.002756753,0.04306673,0.1263287
0,924,0.002752651,0.04303292,0.1262311
0,927,0.002748532,0.04299911,0.1261337
0,930,0.002744395,0.04296531,0.1260365
0,933,0.002740242,0.04293151,0.1259395
0,936,0.002736072,0.04289771,0.1258428
0,939,0.002731886,0.04286391,0.1257461
0,942,0.002727682,0.04283011,0.1256497
0,945,0.002723461,0.0427963,0.1255534
0,948,0.002719223,0.0427625,0.1254572
0,951,0.002714969,0.04272868,0.1253612
0,954,0.002710697,0.04269486,0.1252654
0,957,0.002706408,0.04266102,0.1251696
0,960,0.002702102,0.04262718,0.125074
0,963,0.002697779,0.04259332,0.1249785
0,966,0.002693439,0.04255946,0.1248831
0,969,0.002689082,0.04252557,0.1247878
0,972,0.002684708,0.04249167,0.1246926
0,975,0.002680317,0.04245775,0.1245975
0,978,0.00267591,0.04242382,0.1245025
0,981,0.002671485,0.04238986,0.1244075
0,984,0.002667043,0.04235588,0.1243127
0,987,0.002662584,0.04232189,0.1242178
0,990,0.002658109,0.04228786,0.1241231
0,993,0.002653617,0.04225381,0.1240283
0,996,0.002649108,0.04221974,0.1239336
0,999,0.002644582,0.04218564,0.123839
0,1002,0.00264004,0.04215152,0.1237444
0,1005,0.002635482,0.04211736,0.1236498
0,1008,0.002630906,0.04208317,0.1235552
0,1011,0.002626314,0.04204896,0.1234607
0,1014,0.002621706,0.04201471,0.1233661
0,1017,0.002617082,0.04198043,0.1232716
0,1020,0.002612441,0.04194612,0.123177
0,1023,0.002607784,0.04191177,0.1230825
0,1026,0.002603111,0.04187739,0.1229879
0,1029,0.002598423,0.04184297,0.1228933
0,1032,0.002593718,0.04180851,0.1227987
0,1035,0.002588997,0.04177402,0.1227041
0,1038,0.00258426,0.04173948,0.1226094
0,1041,0.002579508,0.04170491,0.1225148
0,1044,0.002574741,0.0416703,0.12242
0,1047,0.002569957,0.04163565,0.1223253
0,1050,0.002565159,0.04160095,0.1222305
0,1053,0.002560345,0.04156622,0.1221356
0,1056,0.002555516,0.04153144,0.1220407
