"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0
0,3,8.552593E-09,1.980212E-08,1.171141E-10
0,6,2.56141E-07,1.204106E-06,3.569213E-08
0,9,1.571556E-06,9.962582E-06,6.9317E-07
0,12,5.447499E-06,4.030621E-05,4.907165E-06
0,15,1.392995E-05,0.0001129221,2.072035E-05
0,18,2.940491E-05,0.0002523427,6.386671E-05
0,21,5.438192E-05,0.0004835673,0.0001591536
0,24,9.131023E-05,0.0008292217,0.0003401806
0,27,0.000142432,0.001307646,0.0006475289
0,30,0.0002096713,0.001931922,0.001125925
0,33,0.0002945575,0.002709696,0.001820989
0,36,0.0003981805,0.003643533,0.002776106
0,39,0.0005211745,0.004731604,0.004029807
0,42,0.000663725,0.005968485,0.005613859
0,45,0.0008255959,0.007345974,0.007552116
0,48,0.001006169,0.008853838,0.009860056
0,51,0.001204496,0.01048047,0.01254489
0,54,0.001419345,0.01221345,0.01560611
0,57,0.001649266,0.01403996,0.0190363
0,60,0.001892635,0.01594721,0.02282212
0,63,0.002147708,0.01792262,0.02694538
0,66,0.002412667,0.01995409,0.03138408
0,69,0.002685656,0.02203011,0.03611336
0,72,0.002964819,0.02413982,0.04110645
0,75,0.003248327,0.02627314,0.0463354
0,78,0.003534403,0.02842069,0.05177174
0,81,0.00382134,0.03057385,0.05738708
0,84,0.004107518,0.03272472,0.06315347
0,87,0.004391411,0.03486608,0.06904376
0,90,0.004671602,0.03699135,0.07503188
0,93,0.004946783,0.03909454,0.08109294
0,96,0.00521576,0.04117025,0.08720341
0,99,0.005477455,0.04321354,0.09334109
0,102,0.005730906,0.04521998,0.09948526
0,105,0.005975261,0.04718556,0.1056165
0,108,0.006209782,0.04910666,0.1117169
0,111,0.006433836,0.05098001,0.1177696
0,114,0.006646892,0.05280271,0.1237592
0,117,0.006848519,0.05457214,0.1296716
0,120,0.007038375,0.05628599,0.1354935
0,135,0.007805006,0.06395845,0.1628586
0,150,0.008269942,0.07003415,0.1865458
0,165,0.008461812,0.07447491,0.2058831
0,180,0.008427932,0.07735307,0.2206027
0,195,0.008222444,0.07883023,0.2307798
0,210,0.007898027,0.07912871,0.236769
0,225,0.007500918,0.07849894,0.2391235
0,240,0.007068594,0.07718999,0.2385062
0,255,0.00662935,0.07542781,0.2356066
0,270,0.006203037,0.07340258,0.2310757
0,285,0.005802411,0.07126383,0.2254838
0,300,0.005434679,0.06912117,0.219299
0,315,0.00510298,0.06704891,0.212883
0,330,0.004807669,0.06509262,0.2064984
0,345,0.004547327,0.06327622,0.2003228
0,360,0.004319509,0.06160846,0.1944668
0,375,0.004121264,0.06008824,0.1889906
0,390,0.003949468,0.05870857,0.183919
0,405,0.003801043,0.05745929,0.1792533
0,420,0.003673079,0.0563289,0.17498
0,435,0.003562895,0.05530565,0.1710768
0,450,0.003468068,0.05437819,0.1675169
