"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0
0,3,4.462211E-07,4.172761E-06
0,6,4.377664E-06,8.654964E-05
0,9,1.411577E-05,0.0003705104
0,12,3.086351E-05,0.0009306587
0,15,5.495478E-05,0.001799545
0,18,8.598428E-05,0.002976364
0,21,0.0001230352,0.00443636
0,24,0.000164882,0.006140088
0,27,0.0002101447,0.008040145
0,30,0.0002574056,0.01008563
0,33,0.0003052957,0.01222522
0,36,0.0003525584,0.01440936
0,39,0.0003980925,0.01659189
0,42,0.000440978,0.01873117
0,45,0.0004804861,0.02079093
0,48,0.0005160783,0.02274064
0,51,0.0005473951,0.02455576
0,54,0.0005742394,0.02621766
0,57,0.0005965546,0.02771335
0,60,0.0006144024,0.02903505
0,63,0.0006279395,0.03017966
0,66,0.0006373958,0.03114813
0,69,0.0006430542,0.03194481
0,72,0.0006452335,0.03257677
0,75,0.0006442732,0.0330532
0,78,0.0006405215,0.03338479
0,81,0.0006343249,0.03358327
0,84,0.0006260212,0.03366091
0,87,0.0006159334,0.03363018
0,90,0.0006043654,0.03350346
0,93,0.0005915996,0.03329275
0,96,0.0005778948,0.03300955
0,99,0.000563486,0.03266471
0,102,0.0005485837,0.03226831
0,105,0.0005333751,0.03182968
0,108,0.000518024,0.03135729
0,111,0.0005026731,0.03085881
0,114,0.0004874445,0.0303411
0,117,0.0004724418,0.02981024
0,120,0.0004577514,0.02927155
0,123,0.0004434442,0.02872968
0,126,0.0004295772,0.0281886
0,129,0.0004161951,0.02765171
0,132,0.0004033317,0.02712184
0,135,0.0003910114,0.02660133
0,138,0.0003792502,0.02609209
0,141,0.0003680572,0.02559562
0,144,0.0003574356,0.02511309
0,147,0.0003473834,0.02464534
0,150,0.0003378947,0.02419298
0,153,0.00032896,0.02375637
0,156,0.0003205671,0.0233357
0,159,0.0003127017,0.02293099
0,162,0.0003053478,0.02254212
0,165,0.0002984882,0.02216887
0,168,0.0002921046,0.02181094
0,171,0.0002861784,0.02146796
0,174,0.0002806904,0.02113948
0,177,0.0002756215,0.02082506
0,180,0.0002709524,0.02052419
0,183,0.0002666642,0.02023637
0,186,0.0002627382,0.01996108
0,189,0.0002591561,0.01969779
0,192,0.0002559001,0.019446
0,195,0.0002529528,0.01920518
0,198,0.0002502974,0.01897483
0,201,0.0002479177,0.01875448
0,204,0.0002457981,0.01854365
0,207,0.0002439237,0.01834188
0,210,0.0002422799,0.01814873
0,213,0.000240853,0.0179638
0,216,0.0002396299,0.01778667
0,219,0.0002385979,0.01761697
0,222,0.000237745,0.01745433
0,225,0.0002370597,0.01729841
0,228,0.0002365312,0.01714888
0,231,0.000236149,0.01700543
0,234,0.0002359033,0.01686775
0,237,0.0002357848,0.01673559
0,240,0.0002357844,0.01660866
0,243,0.0002358939,0.01648671
0,246,0.0002361052,0.01636952
0,249,0.0002364107,0.01625685
0,252,0.0002368033,0.0161485
0,255,0.0002372762,0.01604426
0,258,0.0002378229,0.01594394
0,261,0.0002384374,0.01584736
0,264,0.0002391141,0.01575436
0,267,0.0002398473,0.01566476
0,270,0.0002406322,0.01557842
0,273,0.0002414638,0.0154952
0,276,0.0002423376,0.01541494
0,279,0.0002432494,0.01533753
0,282,0.0002441951,0.01526284
0,285,0.000245171,0.01519075
0,288,0.0002461734,0.01512115
0,291,0.000247199,0.01505393
0,294,0.0002482448,0.01498899
0,297,0.0002493077,0.01492624
0,300,0.000250385,0.01486558
0,303,0.000251474,0.01480692
0,306,0.0002525725,0.01475018
0,309,0.000253678,0.01469529
0,312,0.0002547886,0.01464216
0,315,0.0002559021,0.01459073
0,318,0.0002570168,0.01454092
0,321,0.0002581309,0.01449266
0,324,0.0002592429,0.01444591
0,327,0.0002603513,0.01440059
