"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,474,0.0002974713,0.0131545
0,477,0.0002978246,0.01313981
0,480,0.0002981636,0.01312533
0,483,0.0002984886,0.01311105
0,486,0.0002987997,0.01309695
0,489,0.0002990971,0.01308303
0,492,0.0002993811,0.01306928
0,495,0.0002996518,0.0130557
0,498,0.0002999094,0.01304228
0,501,0.0003001542,0.01302902
0,504,0.0003003863,0.0130159
0,507,0.000300606,0.01300294
0,510,0.0003008133,0.01299011
0,513,0.0003010086,0.01297741
0,516,0.000301192,0.01296485
0,519,0.0003013637,0.01295241
0,522,0.0003015239,0.01294009
0,525,0.0003016728,0.01292789
0,528,0.0003018106,0.0129158
0,531,0.0003019374,0.01290382
0,534,0.0003020534,0.01289194
0,537,0.0003021588,0.01288017
0,540,0.0003022539,0.01286849
0,543,0.0003023387,0.0128569
0,546,0.0003024134,0.01284541
0,549,0.0003024781,0.012834
0,552,0.0003025332,0.01282268
0,555,0.0003025786,0.01281144
0,558,0.0003026147,0.01280028
0,561,0.0003026414,0.01278919
0,564,0.0003026591,0.01277818
0,567,0.0003026678,0.01276724
0,570,0.0003026676,0.01275636
0,573,0.0003026588,0.01274555
0,576,0.0003026415,0.01273481
0,579,0.0003026158,0.01272412
0,582,0.0003025818,0.01271349
0,585,0.0003025397,0.01270292
0,588,0.0003024896,0.01269241
0,591,0.0003024317,0.01268194
0,594,0.000302366,0.01267153
0,597,0.0003022928,0.01266117
0,600,0.0003022121,0.01265085
0,603,0.000302124,0.01264058
0,606,0.0003020286,0.01263035
0,609,0.0003019261,0.01262016
0,612,0.0003018167,0.01261001
0,615,0.0003017003,0.01259991
0,618,0.0003015771,0.01258984
0,621,0.0003014472,0.0125798
0,624,0.0003013108,0.0125698
0,627,0.0003011678,0.01255983
0,630,0.0003010184,0.0125499
0,633,0.0003008628,0.01253999
0,636,0.000300701,0.01253012
0,639,0.000300533,0.01252027
0,642,0.000300359,0.01251045
0,645,0.0003001791,0.01250065
0,648,0.0002999934,0.01249088
0,651,0.0002998019,0.01248113
0,654,0.0002996047,0.01247141
0,657,0.0002994019,0.0124617
0,660,0.0002991936,0.01245202
0,663,0.0002989798,0.01244235
0,666,0.0002987607,0.01243271
0,669,0.0002985363,0.01242308
0,672,0.0002983067,0.01241347
0,675,0.0002980719,0.01240387
0,678,0.0002978321,0.01239429
0,681,0.0002975872,0.01238472
0,684,0.0002973374,0.01237517
0,687,0.0002970827,0.01236563
0,690,0.0002968232,0.0123561
0,693,0.000296559,0.01234658
0,696,0.00029629,0.01233707
