"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,349,3.209858
0,350,3.195756
0,351,3.181717
0,352,3.167742
0,353,3.153829
0,354,3.139979
0,355,3.126191
0,356,3.112465
0,357,3.098801
0,358,3.085198
0,359,3.071656
0,360,3.058176
0,361,3.044755
0,362,3.031396
0,363,3.018096
0,364,3.004856
0,365,2.991675
0,366,2.978554
0,367,2.965492
0,368,2.952488
0,369,2.939543
0,370,2.926655
0,371,2.913826
0,372,2.901054
0,373,2.88834
0,374,2.875683
0,375,2.863082
0,376,2.850538
0,377,2.83805
0,378,2.825619
0,379,2.813243
0,380,2.800923
0,381,2.788658
0,382,2.776448
0,383,2.764292
0,384,2.752192
0,385,2.740145
0,386,2.728153
0,387,2.716214
0,388,2.704329
0,389,2.692498
0,390,2.680719
0,391,2.668993
0,392,2.65732
0,393,2.645699
0,394,2.63413
0,395,2.622613
0,396,2.611147
0,397,2.599733
0,398,2.58837
0,399,2.577058
0,400,2.565796
0,401,2.554585
0,402,2.543424
0,403,2.532314
0,404,2.521253
0,405,2.510241
0,406,2.499279
0,407,2.488366
0,408,2.477502
0,409,2.466686
0,410,2.455919
0,411,2.4452
0,412,2.434529
0,413,2.423906
0,414,2.41333
0,415,2.402802
0,416,2.39232
0,417,2.381886
0,418,2.371498
0,419,2.361157
0,420,2.350862
0,421,2.340612
0,422,2.330409
0,423,2.320252
0,424,2.310139
0,425,2.300072
0,426,2.290051
0,427,2.280073
0,428,2.270141
0,429,2.260253
0,430,2.250409
0,431,2.240609
0,432,2.230853
0,433,2.221141
0,434,2.211472
0,435,2.201846
0,436,2.192263
0,437,2.182722
0,438,2.173225
0,439,2.163769
0,440,2.154356
0,441,2.144985
0,442,2.135656
0,443,2.126369
0,444,2.117123
0,445,2.107918
0,446,2.098754
0,447,2.089631
0,448,2.080549
0,449,2.071508
0,450,2.062507
0,451,2.053546
0,452,2.044625
0,453,2.035743
0,454,2.026902
0,455,2.0181
0,456,2.009337
0,457,2.000613
0,458,1.991928
0,459,1.983282
0,460,1.974674
0,461,1.966105
0,462,1.957573
0,463,1.94908
0,464,1.940625
0,465,1.932207
0,466,1.923827
0,467,1.915484
0,468,1.907178
0,469,1.89891
0,470,1.890678
0,471,1.882483
0,472,1.874324
0,473,1.866202
0,474,1.858116
0,475,1.850065
0,476,1.842051
0,477,1.834073
0,478,1.82613
0,479,1.818222
0,480,1.810349
0,481,1.802511
0,482,1.794708
0,483,1.78694
0,484,1.779207
0,485,1.771508
0,486,1.763843
0,487,1.756212
0,488,1.748615
0,489,1.741052
0,490,1.733523
0,491,1.726027
0,492,1.718564
0,493,1.711134
0,494,1.703738
0,495,1.696374
0,496,1.689044
0,497,1.681745
0,498,1.674479
0,499,1.667246
0,500,1.660044
0,501,1.652875
0,502,1.645737
0,503,1.638631
0,504,1.631557
0,505,1.624514
0,506,1.617502
0,507,1.610521
0,508,1.603571
0,509,1.596653
0,510,1.589764
0,511,1.582907
0,512,1.57608
0,513,1.569283
0,514,1.562516
0,515,1.555779
0,516,1.549073
0,517,1.542396
0,518,1.535748
0,519,1.52913
0,520,1.522542
0,521,1.515982
0,522,1.509452
0,523,1.50295
0,524,1.496478
0,525,1.490034
0,526,1.483618
0,527,1.477231
0,528,1.470873
0,529,1.464542
0,530,1.458239
0,531,1.451965
0,532,1.445718
0,533,1.439499
0,534,1.433307
0,535,1.427143
0,536,1.421006
0,537,1.414897
0,538,1.408814
0,539,1.402758
0,540,1.396729
0,541,1.390727
0,542,1.384751
0,543,1.378802
0,544,1.372879
0,545,1.366982
0,546,1.361112
0,547,1.355267
0,548,1.349448
0,549,1.343655
0,550,1.337887
0,551,1.332145
0,552,1.326428
0,553,1.320737
0,554,1.31507
0,555,1.309429
0,556,1.303813
0,557,1.298221
0,558,1.292654
0,559,1.287112
0,560,1.281594
0,561,1.276101
0,562,1.270632
0,563,1.265187
0,564,1.259766
0,565,1.254369
0,566,1.248996
0,567,1.243646
0,568,1.23832
0,569,1.233018
0,570,1.227739
0,571,1.222483
0,572,1.21725
0,573,1.212041
0,574,1.206854
0,575,1.201691
0,576,1.19655
0,577,1.191432
0,578,1.186336
0,579,1.181263
0,580,1.176212
0,581,1.171184
0,582,1.166177
0,583,1.161193
0,584,1.156231
0,585,1.15129
0,586,1.146371
0,587,1.141474
0,588,1.136599
0,589,1.131745
0,590,1.126912
0,591,1.122101
0,592,1.11731
0,593,1.112541
0,594,1.107793
0,595,1.103066
0,596,1.098359
0,597,1.093673
0,598,1.089008
0,599,1.084364
0,600,1.07974
0,601,1.075136
0,602,1.070552
0,603,1.065989
0,604,1.061445
0,605,1.056922
0,606,1.052419
0,607,1.047935
0,608,1.043471
0,609,1.039026
0,610,1.034601
0,611,1.030196
0,612,1.02581
0,613,1.021443
0,614,1.017095
0,615,1.012766
0,616,1.008456
0,617,1.004166
0,618,0.9998938
0,619,0.9956406
0,620,0.9914061
0,621,0.9871902
0,622,0.9829928
0,623,0.9788138
0,624,0.9746531
0,625,0.9705107
0,626,0.9663864
0,627,0.9622803
0,628,0.9581921
0,629,0.9541219
0,630,0.9500696
0,631,0.946035
0,632,0.9420182
0,633,0.9380189
0,634,0.9340372
0,635,0.930073
0,636,0.9261261
0,637,0.9221966
0,638,0.9182844
0,639,0.9143892
0,640,0.9105108
0,641,0.9066494
0,642,0.9028049
0,643,0.8989773
0,644,0.8951663
0,645,0.8913721
0,646,0.8875945
0,647,0.8838334
0,648,0.8800887
0,649,0.8763605
0,650,0.8726485
0,651,0.8689528
0,652,0.8652732
0,653,0.8616098
0,654,0.8579624
0,655,0.8543309
0,656,0.8507153
0,657,0.8471155
0,658,0.8435314
0,659,0.8399631
0,660,0.8364103
0,661,0.8328731
0,662,0.8293514
0,663,0.825845
0,664,0.822354
0,665,0.8188783
0,666,0.8154178
0,667,0.8119724
0,668,0.808542
0,669,0.8051267
0,670,0.8017263
0,671,0.7983409
0,672,0.7949702
0,673,0.791614
0,674,0.7882724
0,675,0.7849454
0,676,0.7816328
0,677,0.7783347
0,678,0.7750511
0,679,0.7717817
0,680,0.7685266
0,681,0.7652857
0,682,0.762059
0,683,0.7588463
0,684,0.7556476
0,685,0.7524629
0,686,0.749292
0,687,0.746135
0,688,0.7429917
0,689,0.7398622
0,690,0.7367463
0,691,0.7336439
0,692,0.7305551
0,693,0.7274798
0,694,0.7244178
0,695,0.7213692
0,696,0.7183338
0,697,0.7153118
0,698,0.7123028
0,699,0.709307
0,700,0.7063242
0,701,0.7033544
0,702,0.7003976
0,703,0.6974536
0,704,0.6945224
0,705,0.6916041
0,706,0.6886983
0,707,0.6858052
0,708,0.6829246
0,709,0.6800566
0,710,0.677201
0,711,0.6743579
0,712,0.6715271
0,713,0.6687086
0,714,0.6659024
0,715,0.6631083
0,716,0.6603264
0,717,0.6575567
0,718,0.6547989
0,719,0.6520531
0,720,0.6493192
0,721,0.6465971
0,722,0.643887
0,723,0.6411886
0,724,0.6385019
0,725,0.6358268
0,726,0.6331633
0,727,0.6305115
0,728,0.6278711
0,729,0.6252421
0,730,0.6226246
0,731,0.6200184
0,732,0.6174235
0,733,0.6148399
0,734,0.6122674
0,735,0.6097061
0,736,0.6071559
0,737,0.6046167
0,738,0.6020886
0,739,0.5995713
0,740,0.5970651
0,741,0.5945697
0,742,0.5920851
0,743,0.5896113
0,744,0.5871482
0,745,0.5846957
0,746,0.5822539
0,747,0.5798226
0,748,0.5774019
0,749,0.5749916
0,750,0.5725918
0,751,0.5702023
0,752,0.5678232
0,753,0.5654544
0,754,0.5630957
0,755,0.5607473
0,756,0.5584091
0,757,0.5560809
0,758,0.5537628
0,759,0.5514547
0,760,0.5491566
0,761,0.5468684
0,762,0.5445901
0,763,0.5423216
0,764,0.5400629
0,765,0.537814
0,766,0.5355747
0,767,0.5333452
0,768,0.5311251
0,769,0.5289147
0,770,0.5267138
0,771,0.5245225
0,772,0.5223405
0,773,0.520168
0,774,0.518005
0,775,0.5158511
0,776,0.5137067
0,777,0.5115715
0,778,0.5094454
0,779,0.5073286
0,780,0.5052208
0,781,0.5031222
0,782,0.5010325
0,783,0.4989519
0,784,0.4968802
0,785,0.4948175
0,786,0.4927636
0,787,0.4907186
0,788,0.4886824
0,789,0.4866549
0,790,0.4846362
0,791,0.4826261
0,792,0.4806247
0,793,0.4786319
0,794,0.4766476
0,795,0.474672
0,796,0.4727047
0,797,0.470746
0,798,0.4687957
0,799,0.4668537
0,800,0.4649201
0,801,0.4629948
0,802,0.4610777
0,803,0.4591689
0,804,0.4572683
0,805,0.4553759
0,806,0.4534916
0,807,0.4516154
0,808,0.4497472
0,809,0.4478871
0,810,0.4460349
0,811,0.4441907
0,812,0.4423545
0,813,0.440526
0,814,0.4387055
0,815,0.4368927
0,816,0.4350878
0,817,0.4332905
0,818,0.431501
0,819,0.4297192
0,820,0.4279449
0,821,0.4261783
0,822,0.4244193
0,823,0.4226678
0,824,0.4209238
0,825,0.4191872
0,826,0.4174582
0,827,0.4157365
0,828,0.4140222
0,829,0.4123152
0,830,0.4106156
0,831,0.4089232
0,832,0.4072381
0,833,0.4055601
0,834,0.4038894
0,835,0.4022258
0,836,0.4005693
0,837,0.39892
0,838,0.3972776
0,839,0.3956423
0,840,0.394014
0,841,0.3923927
0,842,0.3907782
0,843,0.3891707
0,844,0.3875701
0,845,0.3859763
0,846,0.3843893
0,847,0.3828091
0,848,0.3812356
0,849,0.3796689
0,850,0.3781089
0,851,0.3765555
0,852,0.3750087
0,853,0.3734686
0,854,0.371935
0,855,0.370408
0,856,0.3688875
0,857,0.3673735
0,858,0.3658659
0,859,0.3643648
0,860,0.36287
0,861,0.3613817
0,862,0.3598997
0,863,0.358424
0,864,0.3569546
0,865,0.3554915
0,866,0.3540346
0,867,0.3525839
0,868,0.3511394
0,869,0.349701
0,870,0.3482688
0,871,0.3468427
0,872,0.3454227
0,873,0.3440087
0,874,0.3426007
0,875,0.3411988
0,876,0.3398028
0,877,0.3384128
0,878,0.3370287
0,879,0.3356505
0,880,0.3342781
0,881,0.3329116
0,882,0.3315509
0,883,0.330196
0,884,0.3288469
0,885,0.3275035
0,886,0.3261658
0,887,0.3248338
0,888,0.3235075
0,889,0.3221867
0,890,0.3208717
0,891,0.3195622
0,892,0.3182583
0,893,0.3169599
0,894,0.315667
0,895,0.3143796
0,896,0.3130977
0,897,0.3118212
0,898,0.3105502
0,899,0.3092845
0,900,0.3080242
0,901,0.3067693
0,902,0.3055196
0,903,0.3042753
0,904,0.3030362
0,905,0.3018025
0,906,0.3005739
0,907,0.2993505
0,908,0.2981324
0,909,0.2969193
0,910,0.2957115
0,911,0.2945087
0,912,0.293311
0,913,0.2921184
0,914,0.2909308
0,915,0.2897483
0,916,0.2885707
0,917,0.2873981
0,918,0.2862305
0,919,0.2850678
0,920,0.28391
0,921,0.2827572
0,922,0.2816091
0,923,0.280466
0,924,0.2793276
0,925,0.2781941
0,926,0.2770655
0,927,0.2759416
0,928,0.2748225
0,929,0.2737081
0,930,0.2725984
0,931,0.2714933
0,932,0.270393
0,933,0.2692973
0,934,0.2682062
0,935,0.2671198
0,936,0.2660379
0,937,0.2649606
0,938,0.2638878
0,939,0.2628195
0,940,0.2617558
0,941,0.2606965
0,942,0.2596417
0,943,0.2585914
0,944,0.2575454
0,945,0.2565039
0,946,0.2554668
0,947,0.254434
0,948,0.2534056
0,949,0.2523815
0,950,0.2513617
0,951,0.2503462
0,952,0.249335
0,953,0.248328
0,954,0.2473252
0,955,0.2463267
0,956,0.2453324
0,957,0.2443423
0,958,0.2433563
0,959,0.2423744
0,960,0.2413967
0,961,0.2404231
0,962,0.2394536
0,963,0.2384882
0,964,0.2375269
0,965,0.2365696
0,966,0.2356163
0,967,0.234667
0,968,0.2337217
0,969,0.2327803
0,970,0.231843
0,971,0.2309095
0,972,0.22998
0,973,0.2290544
0,974,0.2281326
0,975,0.2272147
0,976,0.2263007
0,977,0.2253905
0,978,0.2244841
0,979,0.2235816
0,980,0.2226828
0,981,0.2217878
